Suburb,TotalDwellings2002,TotalDwellings2003,TotalDwellings2004,TotalDwellings2005,TotalDwellings2006,TotalDwellings2007,TotalDwellings2008,TotalDwellings2009,TotalDwellings2010,TotalDwellings2011,TotalDwellings2012,TotalDwellings2013,TotalDwellings2014,TotalDwellings2015,TotalDwellings2016,TotalDwellings2017,TotalDwellings2018,TotalDwellings2019,TotalDwellings2020,Houses2002,Houses2003,Houses2004,Houses2005,Houses2006,Houses2007,Houses2008,Houses2009,Houses2010,Houses2011,Houses2012,Houses2013,Houses2014,Houses2015,Houses2016,Houses2017,Houses2018,Houses2019,Houses2020,Units2002,Units2003,Units2004,Units2005,Units2006,Units2007,Units2008,Units2009,Units2010,Units2011,Units2012,Units2013,Units2014,Units2015,Units2016,Units2017,Units2018,Units2019,Units2020,Apartments2002,Apartments2003,Apartments2004,Apartments2005,Apartments2006,Apartments2007,Apartments2008,Apartments2009,Apartments2010,Apartments2011,Apartments2012,Apartments2013,Apartments2014,Apartments2015,Apartments2016,Apartments2017,Apartments2018,Apartments2019,Apartments2020,Retirement Village Units2002,Retirement Village Units2003,Retirement Village Units2004,Retirement Village Units2005,Retirement Village Units2006,Retirement Village Units2007,Retirement Village Units2008,Retirement Village Units2009,Retirement Village Units2010,Retirement Village Units2011,Retirement Village Units2012,Retirement Village Units2013,Retirement Village Units2014,Retirement Village Units2015,Retirement Village Units2016,Retirement Village Units2017,Retirement Village Units2018,Retirement Village Units2019,Retirement Village Units2020,ConstructionValue2002,ConstructionValue2003,ConstructionValue2004,ConstructionValue2005,ConstructionValue2006,ConstructionValue2007,ConstructionValue2008,ConstructionValue2009,ConstructionValue2010,ConstructionValue2011,ConstructionValue2012,ConstructionValue2013,ConstructionValue2014,ConstructionValue2015,ConstructionValue2016,ConstructionValue2017,ConstructionValue2018,ConstructionValue2019,ConstructionValue2020
Outer Peninsula,9,7,8,6,10,12,14,6,2,3,5,5,4,6,6,9,9,2,11,9,7,8,6,10,12,11,6,2,1,5,5,4,6,6,8,8,2,9,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874183,1990786,2355875,1702820,3263850,4876550,3402970,2389650,3303083,636178,1723000,2044090,2069555,2235000,5498850,3631700,3960800,4022100,6308500
Outram/Momona,17,30,32,29,25,31,20,14,21,8,15,11,13,9,16,14,17,22,41,17,29,32,29,24,29,17,13,21,8,15,11,11,9,16,12,17,19,37,0,1,0,0,1,2,3,1,0,0,0,0,2,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6205796,8734108,13669640,21072533,9566100,11739735,10405226,8347802,9858599,5385705,7782219,7489089,9985749,6145340,11705990,12128715,14820250,22489770,21978329
Peninsula,5,12,11,12,11,10,19,11,12,12,13,7,4,6,9,11,11,9,9,5,12,10,12,11,10,19,11,12,11,12,7,4,6,9,11,11,9,9,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925848,3338094,4471879,7138160,5943400,5366499,6691594,4919642,4364940,5339549,6177148,4070203,2780850,4191790,4599600,5939000,6427000,6357800,6413200
Pine Hill,0,4,4,2,2,3,3,4,1,0,0,0,0,0,1,3,3,5,4,0,3,4,2,2,3,3,3,1,0,0,0,0,0,1,3,3,5,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300017,854100,1836738,673037,1203500,1870500,1154750,1109350,622764,345478,608890,361390,534900,254700,2722800,1694980,1610900,2437900,2661500
Port Chalmers/Purakaunui,3,5,9,8,10,10,6,7,4,2,7,5,4,4,4,5,6,8,4,3,5,8,7,10,10,5,7,4,2,6,5,4,4,3,4,6,7,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2493750,4051376,2687270,3585840,5581400,3243732,4039050,4356690,1879039,2004021,2369460,3668366,2034650,10964300,4515100,14742700,3158010,3407150,3014400
Roslyn/Belleknowes,2,1,3,2,4,4,2,4,5,10,3,3,3,3,2,4,12,4,2,2,1,3,2,2,4,2,3,5,10,3,3,2,3,2,4,5,4,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208650,3606198,1889300,3225699,2803094,2753847,2945790,2234110,3074145,3832173,2661646,2884672,2326000,3477570,2419100,4351000,10140500,6189800,2944000
South Coast,9,23,22,38,29,34,17,21,11,12,16,25,15,27,17,28,16,19,18,9,23,22,38,29,34,17,20,11,12,16,25,15,27,17,28,14,18,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2239848,5232803,6633052,9870880,9322191,10141255,5351330,8529714,4122050,4211299,6138861,10205480,7494083,8642050,6512100,12295780,11240705,11517720,12081600
South Dunedin,10,2,2,6,11,6,8,6,9,4,4,0,2,0,2,1,3,0,7,0,2,2,4,9,2,7,1,2,4,1,0,2,0,2,1,2,0,6,10,0,0,2,2,3,1,5,6,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3157679,2249695,2750599,7524495,4582869,2415300,4381530,4220450,3178248,6728314,4846492,3874916,2030100,5781300,3856000,4842300,4775400,3153900,3271500
St Clair,4,9,6,1,7,7,4,1,7,4,5,1,2,4,7,14,1,8,8,4,7,6,1,7,7,4,1,7,4,5,1,2,4,7,10,1,8,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884049,8346910,2975500,1707926,5107849,11182140,4433634,2311388,4958822,3266290,3780999,2320349,2078125,3027490,5967300,9703600,5485500,11859800,6623500
St Kilda,9,12,9,3,20,9,8,6,6,4,6,7,10,6,6,2,5,0,5,9,12,3,1,10,5,3,4,4,1,5,7,8,6,6,1,5,0,5,0,0,6,2,10,4,5,2,2,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393170,1778920,4173700,4210980,3570159,1957868,2875279,1922153,2271100,1935750,2054553,2661779,2616800,2011800,2377650,636150,1995700,799000,2461000
Strath Taieri,0,1,0,1,4,1,3,1,0,3,1,0,3,0,2,0,1,3,0,0,1,0,1,3,1,3,1,0,3,1,0,3,0,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202560,662402,532479,788000,5726800,1337825,1851314,1513282,531999,1439349,1601700,925400,1676350,332800,1360900,1169500,5697000,1770700,1498500
Taieri,30,19,23,32,46,41,17,27,51,25,56,51,54,59,99,110,96,63,59,11,19,23,30,45,41,17,27,51,25,53,51,54,59,99,110,94,63,48,19,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4653200,6699852,9300446,9708276,17961350,16357523,16130639,7900190,14034160,8677710,17974346,19143571,18953750,24274124,39100250,46121100,40327850,36309550,34556502
Three Mile Hill,3,7,2,8,10,26,7,10,11,3,1,3,6,2,5,8,5,1,7,3,7,2,8,9,25,6,10,10,3,1,3,6,2,5,8,5,1,6,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706284,10414334,4537117,4148287,5760999,7479362,6500983,5168310,6706153,13959450,6285602,4899409,5589400,2031000,4005550,4540400,10258300,8609500,5213100
University,12,54,18,24,11,21,8,10,18,17,25,16,41,29,17,38,35,25,13,8,7,7,3,6,6,3,7,13,6,5,5,1,8,6,5,8,5,3,4,44,11,19,5,15,5,3,5,11,9,7,34,9,11,16,11,5,8,0,3,0,2,0,0,0,0,0,0,11,4,6,12,0,17,16,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15916095,22239769,11657116,19907381,8931666,14053404,40137700,93650666,91240790,23296760,16161876,25788150,20734815,57550430,150470700,24707500,30367729,32060600,23502500
Waikouaiti/Karitane,5,7,13,16,14,9,9,9,5,13,9,11,11,12,15,10,9,13,12,4,6,13,15,14,9,7,9,5,11,9,10,11,12,15,8,9,12,12,1,1,0,1,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1791300,2275654,3250196,4074900,5660782,4675149,7081000,3203600,1987033,5048689,3320870,3438530,5693550,5434100,7467700,3890560,6614400,8478100,5092000
Wakari,2,2,1,0,3,3,3,4,3,2,64,41,19,3,2,4,1,3,3,0,2,1,0,1,2,3,4,2,2,3,1,3,3,2,4,1,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,40,0,0,0,0,0,0,0,616000,2336663,634275,1289590,1400280,1763653,2687187,1706800,1408600,1663458,13574830,11582430,3480679,2861100,1246000,2694700,2225000,2042000,1555500
West Harbour,3,6,7,7,5,5,3,7,8,10,8,11,11,9,13,9,18,16,15,3,5,5,6,5,5,3,6,8,10,8,8,11,9,13,9,17,15,13,0,1,2,1,0,0,0,1,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318752,2483307,2565495,2639150,2776021,2384598,2027390,2814409,3177281,3800302,3198342,7569314,4889400,6306480,9445820,7672350,9338850,15335750,15533500
